Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-02,73.93,74.11,73.26,73.71,3053527.0,0.0,1.0,71.639154340537,71.813576737146,70.989915419826,71.425971411348,3053527.0
2015-01-05,73.47,73.64,71.442,71.72,4714593.0,0.0,1.0,71.19340821587,71.358140479334,69.228249214076,69.497634915505,4714593.0
2015-01-06,71.35,72.07,70.19,70.89,5412443.0,0.0,1.0,69.139099989143,69.83678957557801,68.01504454433001,68.693353864475,5412443.0
2015-01-08,72.87,74.975,72.87,74.53,5103880.0,0.0,1.0,70.612000227173,72.651773254183,70.612000227173,72.220562329233,5103880.0
2015-01-12,74.18,74.895,72.94,74.41,6155682.0,0.0,1.0,71.88140766916,72.574252189024,70.679831159188,72.104280731494,6155682.0
2015-01-13,75.01,75.69,72.61,73.14,5836987.0,0.0,1.0,72.68568872019,73.344617774046,70.36005676540499,70.873633822087,5836987.0
2015-01-14,72.87,73.12,72.0283,72.95,3185641.0,0.0,1.0,70.612000227173,70.854253555797,69.796381720364,70.689521292333,3185641.0
2015-01-15,73.14,74.1,72.82,73.15,5136381.0,0.0,1.0,70.873633822087,71.803886604001,70.56354956144901,70.883323955232,5136381.0
2015-01-20,75.17,75.17,73.37,74.36,3180567.0,0.0,1.0,72.840730850509,72.840730850509,71.09650688442,72.055830065769,3180567.0
2015-01-21,74.26,74.53,73.52,74.18,2974916.0,0.0,1.0,71.95892873432,72.220562329233,71.241858881594,71.88140766916,2974916.0
2015-01-22,74.5,75.15,73.81,75.09,2922986.0,0.0,1.0,72.191491929798,72.82135058422,71.522872742798,72.76320978535,2922986.0
2015-01-23,74.86,74.95,73.55,73.79,3483773.0,0.0,1.0,72.54033672301601,72.627547921321,71.270929281029,71.503492476508,3483773.0
2015-01-26,73.97,74.45,73.38,74.11,2801295.0,0.0,1.0,71.677914873117,72.143041264074,71.10619701756501,71.813576737146,2801295.0
2015-01-28,72.17,73.13,71.59,71.71,4223533.0,0.0,1.0,69.933690907028,70.863943688942,69.371663184621,69.48794478236,4223533.0
2015-01-29,71.02,72.9,70.96,72.71,5292362.0,0.0,1.0,68.81932559536,70.641070626608,68.76118479649,70.456958096854,5292362.0
2015-01-30,71.97,72.79,71.14,71.21,5410723.0,0.0,1.0,69.739888244129,70.534479162014,68.935607193099,69.00343812511301,5410723.0
2015-02-02,71.52,71.79,70.51,71.61,4246282.0,0.0,1.0,69.30383225260701,69.56546584752,68.325128804968,69.391043450911,4246282.0
2015-02-03,72.06,73.87,72.05,73.33,4854520.0,0.0,1.0,69.82709944243301,71.581013541667,69.817409309288,71.057746351841,4854520.0
2015-02-04,73.24,74.16,73.01,73.74,4947235.0,0.0,1.0,70.97053515353599,71.86202740287099,70.747662091202,71.455041810783,4947235.0
2015-02-05,74.18,76.05,73.83,76.0,7649912.0,0.0,1.0,71.88140766916,73.693462567264,71.542253009088,73.64501190153901,7649912.0
2015-02-06,75.8,76.45,75.5,76.1,4789521.0,0.0,1.0,73.451209238641,74.081067893062,73.160505244292,73.74191323298899,4789521.0
2015-02-09,75.5,76.25,75.22,75.72,4205153.0,0.0,1.0,73.160505244292,73.887265230163,72.889181516234,73.373688173481,4205153.0
2015-02-10,75.88,76.22,75.3,75.98,3438663.0,0.0,1.0,73.5287303038,73.858194830728,72.96670258139399,73.62563163524901,3438663.0
2015-02-11,75.43,75.65,74.7501,75.25,3032137.0,0.47,1.0,73.54919998572299,73.763714422908,72.886252868259,73.373688173481,3032137.0
2015-02-12,75.55,76.32,75.46,76.29,3242782.0,0.0,1.0,73.666207860551,74.417008390699,73.57845195443001,74.387756421992,3242782.0
2015-02-13,76.14,76.66,76.0039,76.18,2276539.0,0.0,1.0,74.24149657845601,74.748530702712,74.10879014708901,74.280499203399,2276539.0
2015-02-17,75.96,76.5499,75.6,76.43,2766231.0,0.0,1.0,74.065984766214,74.641175977557,73.71496114173,74.524265609291,2766231.0
2015-02-18,76.04,76.34,75.71,76.31,2241753.0,0.0,1.0,74.14399001609999,74.43650970316999,73.822218360322,74.407257734463,2241753.0
2015-02-19,75.88,76.45,75.74,76.08,2254968.0,0.0,1.0,73.987979516329,74.543766921762,73.851470329029,74.182992641042,2254968.0
2015-02-20,75.69,76.69,75.26,76.67,3880611.0,0.0,1.0,73.802717047851,74.777782671419,73.383438829717,74.758281358947,3880611.0
2015-02-23,76.36,77.49,76.26,77.46,3404440.0,0.0,1.0,74.456011015641,75.557835170273,74.358504453285,75.528583201566,3404440.0
2015-02-24,77.39,78.14,77.21,77.9,3344461.0,0.0,1.0,75.460328607916,76.19162782559201,75.284816795674,75.957612075936,3344461.0
2015-02-25,77.94,78.08,77.46,77.9,3442547.0,0.0,1.0,75.99661470087901,76.13312388817799,75.528583201566,75.957612075936,3442547.0
2015-02-26,77.77,78.18,77.69,78.03,2494891.0,0.0,1.0,75.830853544872,76.230630450535,75.752848294987,76.084370607,2494891.0
2015-02-27,77.69,78.08,77.483,77.85,3593796.0,0.0,1.0,75.752848294987,76.13312388817799,75.551009710908,75.90885879475701,3593796.0
2015-03-02,77.62,78.555,77.5352,78.49,3263524.0,0.0,1.0,75.68459370133701,76.596280059373,75.601908136458,76.532900793841,3263524.0
2015-03-03,77.89,78.345,77.67,78.07,4021860.0,0.0,1.0,75.9478614197,76.39151627842399,75.733346982515,76.123373231942,4021860.0
2015-03-04,77.98,78.35,77.61,78.12,3120391.0,0.0,1.0,76.035617325821,76.396391606541,75.674843045101,76.172126513121,3120391.0
2015-03-05,78.27,78.38,77.78,78.32,3661119.0,0.0,1.0,76.31838635665599,76.425643575248,75.840604201108,76.367139637834,3661119.0
2015-03-06,76.99,78.17,76.43,78.14,7559485.0,0.0,1.0,75.070302358489,76.220879794299,74.524265609291,76.19162782559201,7559485.0
2015-03-09,78.14,78.6299,77.94,78.57,9007420.0,0.0,1.0,76.19162782559201,76.66931247457799,75.99661470087901,76.61090604372599,9007420.0
2015-03-10,77.54,78.78,77.54,78.77,7770743.0,0.0,1.0,75.606588451451,76.815669824676,75.606588451451,76.80591916844,7770743.0
2015-03-11,78.63,79.37,78.42,79.29,7544163.0,0.0,1.0,76.66940998114,77.39095854258099,76.464646200191,77.312953292695,7544163.0
2015-03-12,79.45,80.41,79.2,80.4,7822371.0,0.0,1.0,77.468963792466,78.405026791091,77.225197386574,78.395276134856,7822371.0
2015-03-13,80.16,80.65,79.47,80.5,8895506.0,0.0,1.0,78.161260385199,78.639042540747,77.488465104937,78.492782697212,8895506.0
2015-03-16,78.79,79.23,76.9,77.07,15863406.0,0.0,1.0,76.82542048091099,77.254449355281,74.982546452368,75.14830760837499,15863406.0
2015-03-17,76.06,76.46,74.31,74.68,16462006.0,0.0,1.0,74.163491328571,74.553517577998,72.457126487327,72.817900768047,16462006.0
2015-03-18,74.23,76.25,73.77,76.01,8489883.0,0.0,1.0,72.37912123744199,74.348753797049,71.930591050601,74.114738047393,8489883.0
2015-03-19,75.8,75.91,74.47,74.51,5969651.0,0.0,1.0,73.909974266443,74.017231485036,72.613136987098,72.652139612041,5969651.0
