Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-02,195.46,195.73,192.7001,194.41,1862954.0,0.0,1.0,193.2814264682,193.54841708083,190.55228797996003,192.24312964127,1862954.0
2015-01-05,193.47,194.04,187.48,188.34,3408362.0,0.0,1.0,191.31360676763,191.87725361654,185.39037058353,186.24078512749,3408362.0
2015-01-06,188.65,188.65900000000002,183.93,184.53,3425838.0,0.0,1.0,186.54732990496998,186.55622959206002,181.87993845439,182.47325092692,3425838.0
2015-01-08,189.53,190.82,189.25,190.27,1949888.0,0.0,1.0,187.41752153135,188.69314334729,187.1406423775,188.1492735808,1949888.0
2015-01-12,186.64,187.53,184.11,185.07,2073290.0,0.0,1.0,184.55973312198998,185.43981328958,182.05793219615,183.0072321522,2073290.0
2015-01-13,186.71,189.375,183.37,184.93,2735428.0,0.0,1.0,184.62895291044998,187.26424914261003,181.32618014669998,182.86879257528,2735428.0
2015-01-14,181.32,182.51,178.1,180.23,5103864.0,0.0,1.0,179.29902919888,180.47576560272998,176.11491892963002,178.22117820711998,5103864.0
2015-01-15,180.17,181.6,177.5,178.49,3130894.0,0.0,1.0,178.16184695986001,179.57590835272998,175.52160645709998,176.50057203678003,3130894.0
2015-01-20,177.55,178.33,174.23,175.63,3602788.0,0.0,1.0,175.57104916314,176.34235537743,172.28805348181,173.67244925104,3602788.0
2015-01-21,174.17,178.39,172.82,177.15,3709280.0,0.0,1.0,172.22872223455002,176.40168662468997,170.89376917136002,175.17550751479,3709280.0
2015-01-22,178.81,182.59,177.25,182.04,6214745.0,0.0,1.0,176.81700535546003,180.55487393240003,175.27439292687998,180.01100416591999,6214745.0
2015-01-23,181.43,182.98,180.42,180.49,3107324.0,0.0,1.0,179.40780315218004,180.94052703955,178.40906049007998,178.47828027855,3107324.0
2015-01-26,178.72,180.99,178.06,180.42,2736479.0,0.0,1.0,176.72800848458,178.97270733898998,176.07536476479999,178.40906049007998,2736479.0
2015-01-28,177.73,177.97,172.97,173.05,3007123.0,0.0,1.0,175.74904290490002,175.98636789391998,171.04209728949,171.12120561916,3007123.0
2015-01-29,173.33,176.3,173.07,175.99,2400435.0,0.0,1.0,171.39808477301,174.33498151203997,171.14098270158001,174.02843673456002,2400435.0
2015-01-30,174.13,175.69,172.32,172.41,3020101.0,0.0,1.0,172.18916806972,173.73178049830003,170.39934211091003,170.48833898178998,3020101.0
2015-02-02,172.84,175.6,172.26,175.49,2951611.0,0.0,1.0,170.91354625378,173.64278362742002,170.34001086366,173.53400967412,2951611.0
2015-02-03,176.19,180.48,175.91,180.24,3732146.0,0.0,1.0,174.22620755874001,178.46839173733997,173.94932840489,178.23106674832002,3732146.0
2015-02-04,178.72,180.71,178.53,178.78,2967431.0,0.0,1.0,176.72800848458,178.69582818514,176.54012620160998,176.78733973182997,2967431.0
2015-02-05,179.44,181.6,179.23,180.77,2425600.0,0.0,1.0,177.43998345161998,179.57590835272998,177.23232408623002,178.75515943238997,2425600.0
2015-02-06,182.05,184.62,181.14,183.43,3247286.0,0.0,1.0,180.02089270713,182.56224779779998,179.12103545711997,181.38551139395,3247286.0
2015-02-09,181.61,182.95,181.15,182.22,2387802.0,0.0,1.0,179.58579689393997,180.91086141591998,179.13092399833,180.18899790768,2387802.0
2015-02-10,183.07,184.8,182.35,184.56,2537262.0,0.0,1.0,181.02952391043,182.74024153956,180.31754894339,182.50291655055,2537262.0
2015-02-11,184.06,188.19,183.75,187.65,3847265.0,0.0,1.0,182.00848949011,186.09245700936,181.70194471263,185.55847578408,3847265.0
2015-02-12,188.17,190.0,187.4,189.78,3060868.0,0.0,1.0,186.07267992694,187.88228296816,185.31126225386,187.66473506156998,3060868.0
2015-02-13,189.48,191.33,188.34,189.0,2679299.0,0.0,1.0,187.3680788253,189.19745894893998,186.24078512749,186.89342884728,2679299.0
2015-02-17,188.68,190.63,188.31,190.02,2100802.0,0.0,1.0,186.57699552858998,188.50526106432,186.21111950387,187.90206005058,2100802.0
2015-02-18,189.54,190.035,187.82,188.67,1666291.0,0.0,1.0,187.42741007256,187.91689286238997,185.72658098463,186.56710698739,1666291.0
2015-02-19,187.45,189.85,187.27,189.11,1457780.0,0.0,1.0,185.36070495991,187.73395485003002,185.18271121815,187.00220280058,1457780.0
2015-02-20,188.44,191.64,187.05,191.51,2309268.0,0.0,1.0,186.33967053958,189.50400372641002,184.96516331155,189.3754526907,2309268.0
2015-02-23,190.66,190.74,189.27,190.31,1652625.0,0.0,1.0,188.53492668795,188.61403501762,187.16041945992,188.18882774564,1652625.0
2015-02-24,190.03,193.28,189.68,192.22,2610095.0,0.0,1.0,187.91194859179,191.12572448467,187.56584964948001,190.07753911653,2610095.0
2015-02-25,191.55,192.45,190.46,191.72,2767098.0,0.0,1.0,189.41500685553,190.30497556433,188.33715586377,189.58311205609,2767098.0
2015-02-26,190.51,192.47,190.0,192.2,2443990.0,0.0,1.0,188.38659856981002,190.32475264675,187.88228296816,190.05776203411,2443990.0
2015-02-27,191.19,192.5,189.79,189.79,2542822.0,0.0,1.0,189.05901937202,190.35441827038002,187.67462360278,187.67462360278,2542822.0
2015-03-02,190.0,191.92,189.78,191.79,1649847.0,0.0,1.0,187.88228296816,189.78088288026,187.66473506156998,189.65233184455002,1649847.0
2015-03-03,190.7,192.87,190.57,191.27,1487567.0,0.0,1.0,188.57448085278,190.7202942951,188.44592981707,189.13812770169,1487567.0
2015-03-04,190.35,190.82,188.98,189.67,1631613.0,0.0,1.0,188.22838191047,188.69314334729,186.87365176486,187.55596110827,1631613.0
2015-03-05,190.13,190.72,189.07,190.08,1330072.0,0.0,1.0,188.01083400388,188.5942579352,186.96264863573998,187.96139129783,1330072.0
2015-03-06,187.58,191.4,186.58,186.91,4103633.0,0.0,1.0,185.48925599562,189.2666787374,184.50040187474,184.82672373463,4103633.0
2015-03-09,187.3,188.79,186.57,187.93,2233659.0,0.0,1.0,185.21237684176998,186.68576948189,184.49051333353,185.83535493793,2233659.0
2015-03-10,185.59,186.14,182.71,182.71,2768460.0,0.0,1.0,183.52143629506,184.06530606155,180.67353642691003,180.67353642691003,2768460.0
2015-03-11,183.3,185.84,183.01,184.18,2076270.0,0.0,1.0,181.25696035823003,183.76864982528,180.97019266318,182.12715198461004,2076270.0
2015-03-12,185.94,190.0,185.94,189.95,3092571.0,0.0,1.0,183.86753523737,187.88228296816,183.86753523737,187.83284026212,3092571.0
2015-03-13,188.87,189.74,186.16,189.34,3081335.0,0.0,1.0,186.76487781156,187.62518089673,184.08508314396,187.22963924838,3081335.0
2015-03-16,190.04,192.49,189.9,191.9,2095573.0,0.0,1.0,187.921837133,190.34452972917,187.78339755606999,189.76110579784,2095573.0
2015-03-17,190.97,191.24,188.8,190.57,1869750.0,0.0,1.0,188.84147146542,189.10846207806,186.6956580231,188.44592981707,1869750.0
2015-03-18,189.67,193.04,189.2,192.32,2787965.0,0.0,1.0,187.55596110827,190.88839949565,187.09119967145,190.17642452862,2787965.0
2015-03-19,191.76,191.76,189.09,189.97,2072633.0,0.0,1.0,189.62266622092,189.62266622092,186.98242571816002,187.85261734454,2072633.0
2015-03-20,190.47,193.918,189.9,193.13,3423796.0,0.0,1.0,188.34704440498,191.75661341378998,187.78339755606999,190.97739636653,3423796.0
2015-03-23,193.27,194.25,191.96,191.96,1580103.0,0.0,1.0,191.11583594346,192.08491298192,189.8204370451,189.8204370451,1580103.0
2015-03-24,191.94,192.51,191.16,191.28,1774998.0,0.0,1.0,189.80065996268002,190.36430681158,189.02935374839,189.1480162429,1774998.0
2015-03-25,191.08,191.23,187.35,187.35,2515086.0,0.0,1.0,188.95024541872,189.09857353685,185.26181954781998,185.26181954781998,2515086.0
2015-03-26,186.52,187.97,185.02,187.24,2362812.0,0.0,1.0,184.44107062748,185.87490910277,182.95778944616,185.15304559452,2362812.0
2015-03-27,187.19,188.48,186.27,188.06,1530317.0,0.0,1.0,185.10360288848,186.37922470442,184.19385709726,185.96390597365001,1530317.0
2015-03-30,189.24,192.0,189.19,191.02,2378853.0,0.0,1.0,187.13075383628998,189.85999120993,187.08131113025001,188.89091417147,2378853.0
2015-03-31,190.34,190.55,187.97,187.97,2132310.0,0.0,1.0,188.21849336926002,188.42615273465,185.87490910277,185.87490910277,2132310.0
2015-04-01,187.94,192.33,186.96,192.23,4022536.0,0.0,1.0,185.84524347913998,190.18631306983002,184.87616644067,190.08742765774,4022536.0
2015-04-02,191.73,192.73,190.85,191.55,2264179.0,0.0,1.0,189.59300059729,190.58185471818,188.72280897092,189.41500685553,2264179.0
2015-04-06,190.18,192.64,188.95,192.05,1978704.0,0.0,1.0,188.06027670992,190.4928578473,186.84398614123,189.90943391598,1978704.0
2015-04-07,192.52,193.64,192.24,192.39,1765438.0,0.0,1.0,190.37419535279,191.48171196818,190.09731619895,190.24564431708,1765438.0
2015-04-08,193.04,193.85,192.2,192.56,1978505.0,0.0,1.0,190.88839949565,191.68937133357,190.05776203411,190.41374951763,1978505.0
2015-04-09,192.86,195.09,192.41,194.89,1967378.0,0.0,1.0,190.71040575389,192.91555044347,190.2654213995,192.71777961929,1967378.0
2015-04-10,194.65,195.86,194.09,195.64,1753647.0,0.0,1.0,192.48045463028,193.67696811655,191.92669632258,193.45942020995,1753647.0
2015-04-13,195.32,197.38,194.77,195.58,2173451.0,0.0,1.0,193.14298689127,195.18002638029,192.59911712478,193.4000889627,2173451.0
2015-04-14,196.98,198.49,195.71,197.72,3261767.0,0.0,1.0,194.78448473194,196.27765445448003,193.52863999842,195.51623678139998,3261767.0
2015-04-15,198.21,202.14,197.39,201.1,4967211.0,0.0,1.0,196.00077530063,199.88697199570998,195.18991492150002,198.85856370999,4967211.0
2015-04-16,202.7,202.87,198.7,200.21,5952163.0,0.0,1.0,200.4407303034,200.60883550395002,196.48531381986,197.97848354240003,5952163.0
2015-04-17,197.84,198.25,195.65,197.35,4570284.0,0.0,1.0,195.6348992759,196.04032946546002,193.46930875116,195.15036075667,4570284.0
2015-04-20,199.07,199.6,197.92,198.1,2524307.0,0.0,1.0,196.85118984459,197.37528252866002,195.71400760557,195.89200134733002,2524307.0
2015-04-21,198.97,199.5,196.58,196.84,1849989.0,0.0,1.0,196.7523044325,197.27639711656997,194.38894308358996,194.64604515501998,1849989.0
2015-04-22,197.91,199.1596,196.57,198.32,1929315.0,0.0,1.0,195.70411906436001,196.93979117382,194.37905454237998,196.10954925393003,1929315.0
2015-04-23,198.16,200.49,197.6,199.31,2043312.0,0.0,1.0,195.95133259458999,198.25536269625,195.39757428689,197.08851483360002,2043312.0
2015-04-24,199.0,199.1,197.45,197.99,1425437.0,0.0,1.0,196.78197005612998,196.88085546821998,195.24924616875998,195.78322739403,1425437.0
2015-04-27,198.76,199.31,196.37,196.52,1757286.0,0.0,1.0,196.54464506711997,197.08851483360002,194.1812837182,194.32961183633,1757286.0
2015-04-28,196.2,197.609,194.4,197.49,1899571.0,0.0,1.0,194.01317851765,195.40647397397998,192.23324110006,195.28880033358996,1899571.0
2015-04-29,195.79,199.73,195.48,198.56,2464973.0,0.0,1.0,193.60774832808997,197.50383356437,193.30120355061,196.34687424293998,2464973.0
2015-04-30,198.4,199.75,195.4,196.42,2553326.0,0.0,1.0,196.18865758360002,197.52361064679002,193.22209522094,194.23072642424998,2553326.0
2015-05-01,198.45,198.57,196.83,197.53,2001714.0,0.0,1.0,196.23810028964002,196.35676278415002,194.63615661381002,195.32835449843003,2001714.0
2015-05-04,198.26,199.72,197.9,199.3,1581596.0,0.0,1.0,196.05021800667,197.49394502317,195.69423052316003,197.07862629239,1581596.0
2015-05-05,198.31,200.39,196.72,197.29,2287420.0,0.0,1.0,196.09966071271998,198.15647728416,194.52738266051003,195.09102950942003,2287420.0
2015-05-06,197.75,198.59,194.01,196.25,2433284.0,0.0,1.0,195.54590240502,196.37653986656997,191.84758799291,194.06262122369,2433284.0
2015-05-07,196.26,197.95,194.81,197.39,1795322.0,0.0,1.0,194.07250976490002,195.74367322919997,192.63867128962,195.18991492150002,1795322.0
2015-05-08,199.1,201.34,199.1,200.5,3191957.0,0.0,1.0,196.88085546821998,199.09588869900003,196.88085546821998,198.26525123746003,3191957.0
2015-05-11,200.29,201.9499,200.29,201.73,1966669.0,0.0,1.0,198.05759187207002,199.69899082733002,198.05759187207002,199.48154180613997,1966669.0
2015-05-12,200.48,201.04,198.07,200.53,2246452.0,0.0,1.0,198.24547415503997,198.79923246272998,195.86233572371003,198.29491686108003,2246452.0
2015-05-13,200.47,201.75,199.85,201.43,2019335.0,0.0,1.0,198.23558561382998,199.50131888856004,197.62249605888002,199.18488556987998,2019335.0
2015-05-14,202.33,202.88,201.43,202.62,1957048.0,0.0,1.0,200.07485427868,200.61872404516004,199.18488556987998,200.36162197373002,1957048.0
2015-05-15,202.55,202.97,201.815,202.97,1722826.0,0.0,1.0,200.29240218527,200.70772091604,199.56559440642,200.70772091604,1722826.0
2015-05-18,202.65,205.18,202.64,204.66,2149654.0,0.0,1.0,200.39128759736,202.8930885232,200.38139905615003,202.37888438034,2149654.0
2015-05-19,204.99,206.2,204.55,205.4,2355076.0,0.0,1.0,202.70520624022998,203.9017197265,202.27011042703998,203.11063642979,2355076.0
2015-05-20,205.17,205.96,204.15,205.08,1810650.0,0.0,1.0,202.88319998198997,203.66439473749,201.87456877869,202.79420311111,1810650.0
2015-05-21,204.6,205.21,204.175,204.95,2214351.0,0.0,1.0,202.31955313307998,202.92275414681998,201.89929013171002,202.66565207538997,2214351.0
2015-05-22,204.66,208.26,204.63,207.8,3030261.0,0.0,1.0,202.37888438034,205.93875921551998,202.34921875671,205.48388631992,3030261.0
2015-05-26,207.52,207.52,205.0,206.38,3322813.0,0.0,1.0,205.20700716606999,205.20700716606999,202.71509478143997,204.07971346826,3322813.0
2015-05-27,206.89,209.68,205.87,209.06,2689809.0,0.0,1.0,204.58402906991,207.34293206718002,203.57539786661,206.72984251223,2689809.0
2015-05-28,208.08,208.59,207.28,208.48,2671483.0,0.0,1.0,205.76076547377,206.26508107542,204.96968217706,206.15630712211998,2671483.0
2015-05-29,208.23,208.27,205.62,206.19,2235233.0,0.0,1.0,205.9090935919,205.94864775673,203.32818433639,203.89183118529,2235233.0
2015-06-01,207.32,208.82,206.89,207.81,2083226.0,0.0,1.0,205.00923634189,206.49251752322,204.58402906991,205.49377486113,2083226.0
2015-06-02,206.85,207.84,205.65400000000002,206.43,2227563.0,0.0,1.0,204.54447490508,205.52344048474998,203.3618053765,204.1291561743,2227563.0
2015-06-03,207.52,210.17,206.77,208.29,2395680.0,0.0,1.0,205.20700716606999,207.82747058641002,204.46536657541,205.96842483915,2395680.0
2015-06-04,207.6,210.06,207.0,208.87,3411168.0,0.0,1.0,205.28611549573998,207.71869663312,204.69280302321,206.54196022926,3411168.0
2015-06-05,210.7,211.94,208.55,210.45,3217680.0,0.0,1.0,208.35156327048,209.57774238038002,206.22552691058,208.10434974026,3217680.0
2015-06-08,211.15,211.7,209.4501,209.79,2171269.0,0.0,1.0,208.79654762488,209.34041739137,207.11559450479,207.45170602048,2171269.0
2015-06-09,210.0,210.44,207.62,209.02,2278834.0,0.0,1.0,207.65936538586,208.09446119905,205.30589257816,206.6902883474,2278834.0
2015-06-10,209.72,213.4,209.36,213.13,2677304.0,0.0,1.0,207.38248623202,211.02146939687,207.0264987485,210.75447878423,2677304.0
2015-06-11,213.17,214.605,212.87,213.94,2024123.0,0.0,1.0,210.79403294907,212.21303861253998,210.4973767128,211.55545062215,2024123.0
2015-06-12,213.48,214.01,212.01,213.06,2006235.0,0.0,1.0,211.10057772654,211.62467041061,209.64696216884,210.68525899577,2006235.0
2015-06-15,210.89,212.34,210.38,211.76,1891152.0,0.0,1.0,208.53944555345,209.97328402874,208.0351299518,209.39974863862,1891152.0
2015-06-16,211.85,213.57,211.13,213.56,1952357.0,0.0,1.0,209.4887455095,211.18957459742,208.77677054246,211.17968605622,1952357.0
2015-06-17,213.59,214.5,212.571,212.93,1775875.0,0.0,1.0,211.20935167983998,212.10920892985,210.20170933066,210.55670796006,1775875.0
2015-06-18,213.45,215.01,212.01,214.6,2162702.0,0.0,1.0,211.07091210292,212.61352453150002,209.64696216884,212.20809434194,2162702.0
2015-06-19,214.12,215.0,213.19,213.19,3701017.0,0.0,1.0,211.73344436391002,212.60363599029,210.81381003149,210.81381003149,3701017.0
2015-06-22,215.06,216.81,215.0,216.51,2003559.0,0.0,1.0,212.66296723754,214.39346194909,212.60363599029,214.09680571283002,2003559.0
2015-06-23,216.92,218.77,216.64,218.4,2602297.0,0.0,1.0,214.50223590239,216.33161602603002,214.22535674854,215.96574000130002,2602297.0
2015-06-24,216.2,217.0,213.7,214.43,3567153.0,0.0,1.0,213.79026093535,214.58134423206002,211.31812563314,212.03998914139,3567153.0
2015-06-25,215.15,215.8,212.49,212.82,2423679.0,0.0,1.0,212.75196410842,213.39471928700002,210.12161214687,210.44793400676002,2423679.0
2015-06-26,213.62,214.61,212.55,213.19,1695621.0,0.0,1.0,211.23901730347,212.21798288314,210.18094339412,210.81381003149,1695621.0
2015-06-29,210.14,211.22,207.65,207.65,3271052.0,0.0,1.0,207.79780496279,208.86576741334,205.33555820178,205.33555820178,3271052.0
2015-06-30,209.89,210.79,208.15,209.43,2157342.0,0.0,1.0,207.55059143257,208.44056014136,205.82998526223,207.09571853696,2157342.0
2015-07-01,211.63,212.49,208.945,209.94,2775152.0,0.0,1.0,209.27119760291,210.12161214687,206.61612428833,207.60003413861,2775152.0
2015-07-02,209.94,210.63,208.50099999999998,209.2,1802249.0,0.0,1.0,207.60003413861,208.28234348202,206.17707305866,206.86828208916,1802249.0
2015-07-06,206.71,208.53,206.26,208.04,2808278.0,0.0,1.0,204.40603532814998,206.20574982816,203.96105097375,205.72121130893,2808278.0
2015-07-07,207.98,208.97,203.2,208.21,3295152.0,0.0,1.0,205.66188006168,206.64084564134998,200.93515736384998,205.88931650948,3295152.0
2015-07-08,206.3,206.785,203.7004,204.06,2160237.0,0.0,1.0,204.00060513858998,204.48019938722,201.42997996594,201.78557190781,2160237.0
2015-07-09,207.13,207.55,204.44,204.81,2173400.0,0.0,1.0,204.82135405891998,205.2366727897,202.16133647374,202.52721249847,2173400.0
2015-07-10,207.72,207.98,206.18,207.19,1800811.0,0.0,1.0,205.40477799025,205.66188006168,203.88194264408,204.88068530618,1800811.0
2015-07-14,210.01,212.76,209.7,212.16,2086888.0,0.0,1.0,207.66925392707,210.38860275951,207.3627091496,209.79529028698002,2086888.0
2015-07-15,213.54,213.61,211.425,212.96,2518978.0,0.0,1.0,211.15990897380001,211.22912876226002,209.06848250813,210.58637358368,2518978.0
