Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-02,42.26,42.4,41.8,42.14,9921011.0,0.0,1.0,40.592954989907,40.727432360909994,40.151100770897,40.477688671904,9921011.0
2015-01-05,42.69,42.97,42.08,42.14,26292592.0,0.0,1.0,41.005992629416,41.274947371422,40.420055512903,40.477688671904,26292592.0
2015-01-06,42.41,42.94,42.24,42.46,16897487.0,0.0,1.0,40.73703788741,41.246130791921,40.573743936906,40.785065519911,16897487.0
2015-01-07,42.8,43.11,42.58,42.99,13411970.0,0.0,1.0,41.111653420918,41.409424742424996,40.900331837914,41.294158424422,13411970.0
2015-01-08,43.18,43.57,43.1,43.51,21743628.0,0.0,1.0,41.476663427926,41.851278961435,41.399819215925,41.793645802434,21743628.0
2015-01-09,43.47,43.56,42.95,43.03,12627058.0,0.0,1.0,41.755223696433,41.841673434935004,41.255736318421995,41.332580530423,12627058.0
2015-01-12,43.07,43.195,42.46,42.64,11415814.0,0.0,1.0,41.371002636423995,41.491071717677,40.785065519911,40.957964996915,11415814.0
2015-01-13,42.83,43.24,42.452,42.63,12649886.0,0.0,1.0,41.140470000419,41.534296586928,40.777381098711,40.948359470415,12649886.0
2015-01-14,42.08,42.6,42.07,42.56,13447646.0,0.0,1.0,40.420055512903,40.919542890914,40.410449986402995,40.881120784913,13447646.0
2015-01-15,42.83,42.86,42.17,42.38,11193063.0,0.0,1.0,41.140470000419,41.16928657992,40.506505251405,40.708221307909,11193063.0
2015-01-16,42.36,42.59,42.24,42.53,15114873.0,0.0,1.0,40.689010254909,40.909937364414,40.573743936906,40.852304205413,15114873.0
2015-01-20,42.7,43.325,42.61,43.16,17001472.0,0.0,1.0,41.015598155916,41.61594356218,40.929148417414,41.457452374926,17001472.0
2015-01-21,42.89,43.43,42.76,43.36,10720341.0,0.0,1.0,41.19810315942,41.716801590432,41.073231314917,41.64956290493,10720341.0
2015-01-22,43.37,43.83,43.0744,43.78,14709110.0,0.0,1.0,41.659168431431,42.10102265044,41.375229068084,42.052995017939,14709110.0
2015-01-23,43.6,43.75,43.18,43.31,12357723.0,0.0,1.0,41.880095540935,42.024178438439,41.476663427926,41.601535272429,12357723.0
2015-01-26,43.18,43.23,42.83,43.0,11151811.0,0.0,1.0,41.476663427926,41.524691060428,41.140470000419,41.303763950923,11151811.0
2015-01-27,42.54,42.64,42.15,42.39,15274036.0,0.0,1.0,40.861909731913,40.957964996915,40.487294198404,40.71782683441,15274036.0
2015-01-28,42.59,42.795,41.9,41.92,14278506.0,0.0,1.0,40.909937364414,41.106850657668,40.247156035899,40.266367088899,14278506.0
2015-01-29,41.77,42.15,41.47,42.1,13657818.0,0.0,1.0,40.122284191396,40.487294198404,39.834118396390004,40.439266565903,13657818.0
2015-01-30,41.83,41.93,41.11,41.17,19192694.0,0.0,1.0,40.179917350397,40.2759726154,39.488319442382,39.545952601383,19192694.0
2015-02-02,41.21,41.63,40.9,41.59,15195667.0,0.0,1.0,39.584374707384,39.987806820393,39.286603385878,39.949384714392,15195667.0
2015-02-03,41.75,41.85,41.37,41.63,13193129.0,0.0,1.0,40.103073138396,40.199128403398,39.738063131388,39.987806820393,13193129.0
2015-02-04,41.77,42.09,41.62,41.68,16399792.0,0.0,1.0,40.122284191396,40.429661039403,39.978201293893,40.035834452894,16399792.0
2015-02-05,41.8,41.82,41.51,41.79,11077062.0,0.0,1.0,40.151100770897,40.170311823897,39.872540502391,40.141495244397,11077062.0
2015-02-06,41.63,41.76,41.32,41.45,12366150.0,0.0,1.0,39.987806820393,40.112678664896,39.690035498887,39.814907343389,12366150.0
2015-02-09,41.38,41.45,41.04,41.23,13369601.0,0.0,1.0,39.747668657888,39.814907343389,39.421080756881,39.603585760384995,13369601.0
2015-02-10,42.91,43.03,42.2,42.4,32184188.0,0.0,1.0,41.217314212420995,41.332580530423,40.535321830905,40.727432360909994,32184188.0
2015-02-11,42.1,42.49,41.7,42.37,20496182.0,0.0,1.0,40.439266565903,40.813882099412,40.055045505895,40.698615781409,20496182.0
2015-02-12,42.4,42.66,42.07,42.17,13818248.0,0.0,1.0,40.727432360909994,40.977176049915,40.410449986402995,40.506505251405,13818248.0
2015-02-13,42.02,42.23,41.76,41.99,10792091.0,0.0,1.0,40.362422353902,40.564138410405995,40.112678664896,40.333605774401,10792091.0
2015-02-17,41.81,41.88,41.64,41.81,12803971.0,0.0,1.0,40.160706297397,40.227944982899,39.997412346893,40.160706297397,12803971.0
2015-02-18,41.75,41.8,41.47,41.73,9789765.0,0.0,1.0,40.103073138396,40.151100770897,39.834118396390004,40.083862085395005,9789765.0
2015-02-19,41.68,42.24,41.53,42.11,16578267.0,0.0,1.0,40.035834452894,40.573743936906,39.891751555391004,40.448872092403,16578267.0
2015-02-20,42.04,42.11,41.64,41.97,15981911.0,0.0,1.0,40.381633406902,40.448872092403,39.997412346893,40.3143947214,15981911.0
2015-02-23,41.71,42.17,41.69,41.85,11830339.0,0.0,1.0,40.064651032395,40.506505251405,40.045439979394004,40.199128403398,11830339.0
2015-02-24,41.85,42.33,41.77,42.13,12782659.0,0.0,1.0,40.199128403398,40.660193675408,40.122284191396,40.468083145404,12782659.0
2015-02-25,42.17,42.24,41.74,42.05,10323318.0,0.0,1.0,40.506505251405,40.573743936906,40.093467611896,40.391238933402,10323318.0
2015-02-26,42.04,42.55,41.97,42.46,14345465.0,0.0,1.0,40.381633406902,40.871515258413,40.3143947214,40.785065519911,14345465.0
2015-02-27,42.52,43.66,42.47,43.3,28312800.0,0.0,1.0,40.842698678912,41.937728699937,40.794671046411,41.591929745929,28312800.0
2015-03-02,43.12,43.28,43.08,43.2,13514230.0,0.0,1.0,41.419030268925,41.572718692929,41.380608162924,41.495874480927,13514230.0
2015-03-03,43.11,43.16,42.84,42.95,10036311.0,0.0,1.0,41.409424742424996,41.457452374926,41.150075526919,41.255736318421995,10036311.0
2015-03-04,42.92,42.98,42.47,42.5,16251705.0,0.0,1.0,41.226919738921,41.284552897922,40.794671046411,40.823487625912,16251705.0
2015-03-05,42.56,42.605,42.25,42.4,9222960.0,0.0,1.0,40.881120784913,40.924345654164,40.583349463406,40.727432360909994,9222960.0
2015-03-06,42.12,42.2,41.33,41.52,18180467.0,0.0,1.0,40.458477618904,40.535321830905,39.699641025387,39.882146028891,18180467.0
2015-03-09,41.53,41.55,41.32,41.39,10123274.0,0.0,1.0,39.891751555391004,39.910962608390996,39.690035498887,39.757274184387995,10123274.0
2015-03-10,41.1,41.15,40.68,40.69,14599065.0,0.0,1.0,39.478713915882004,39.526741548383,39.075281802873,39.084887329373004,14599065.0
2015-03-11,40.73,40.73,40.08,40.1,18548681.0,0.0,1.0,39.123309435374,39.123309435374,38.498950212859995,38.51816126586,18548681.0
2015-03-12,40.1,40.57,40.02,40.57,17728747.0,0.33,1.0,38.831471426514,39.286603385878,38.754002156836,39.286603385878,17728747.0
2015-03-13,40.44,40.57,39.61,39.91,17437625.0,0.0,1.0,39.160715822649,39.286603385878,38.356972149732,38.647481911027,17437625.0
2015-03-16,40.0,40.35,39.99,40.29,15233500.0,0.0,1.0,38.734634839415996,39.073562894260995,38.724951180706,39.015460942002,15233500.0
2015-03-17,40.67,40.73,40.32,40.51,21661805.0,0.0,1.0,39.383439972976,39.441541925235,39.044511918131,39.228501433618,21661805.0
2015-03-18,40.48,40.79,39.8,40.6,26242363.0,0.0,1.0,39.199450457489,39.499643877494,38.540961665219,39.315654362006995,26242363.0
