Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-02,115.31,115.64,113.8,115.04,3140751.0,0.0,1.0,111.65971421043001,111.97926763762,110.1975151951,111.39826140636002,3140751.0
2015-01-05,114.64,115.46,112.84,113.12,4604417.0,0.0,1.0,111.01092391886002,111.80496576824,109.26790522509,109.53904146634001,4604417.0
2015-01-06,112.27,113.04,110.23,111.52,5730077.0,0.0,1.0,108.71594930539,109.46157396884001,106.74052811911999,107.98969151632,5730077.0
2015-01-08,113.9,115.0,113.3,114.65,3850922.0,0.0,1.0,110.29434956698,111.35952765761002,109.71334333571998,111.02060735605,3850922.0
2015-01-12,114.5,114.75,113.0233,114.45,4981238.0,0.0,1.0,110.87535579823,111.11744172792,109.44540262874001,110.8269386123,4981238.0
2015-01-13,115.54,116.835,113.5,114.34,4168832.0,0.0,1.0,111.88243326575001,113.13643838153999,109.90701207946998,110.72042080323,4168832.0
2015-01-14,113.41,114.1699,112.62,113.52,3487336.0,0.0,1.0,109.81986114478,110.55570553667,109.05486960696,109.92637895385,3487336.0
2015-01-15,114.17,114.69,113.06,113.52,3148095.0,0.0,1.0,110.55580237103999,111.0593411048,109.48094084321998,109.92637895385,3148095.0
2015-01-20,116.87,117.73,115.9,117.53,5440794.0,0.0,1.0,113.17033041170001,114.00310600982999,112.23103700450001,113.80943726608,5440794.0
2015-01-21,117.5,119.295,117.2,119.03,7040625.0,0.0,1.0,113.78038695452,115.5185639297,113.48988383889,115.26195284421999,7040625.0
2015-01-22,119.76,120.675,118.76,120.45,6531878.0,0.0,1.0,115.96884375892,116.85487826158999,115.00050004016,116.63700092487,6531878.0
2015-01-23,120.37,120.95,119.93,119.98,4298407.0,0.0,1.0,116.55953342737,117.12117278424999,116.13346219111,116.18187937705,4298407.0
2015-01-26,119.83,119.92,118.28,118.75,5690706.0,0.0,1.0,116.03662781923,116.12377875392,114.53569505515,114.99081660296999,5690706.0
2015-01-28,119.38,119.38,116.79,116.92,4267217.0,0.0,1.0,115.60087314578999,115.60087314578999,113.0928629142,113.21874759764,4267217.0
2015-01-29,116.92,117.03,114.47,116.45,6319495.0,0.0,1.0,113.21874759764,113.3252654067,110.84630548667,112.76362604982,6319495.0
2015-01-30,115.02,116.23,114.63,114.78,4580473.0,0.0,1.0,111.37889453199,112.55059043168998,111.00124048167,111.14649203949,4580473.0
2015-02-02,115.04,116.7,114.05,116.58,3456574.0,0.0,1.0,111.39826140636002,113.00571197951,110.43960112478999,112.88951073326,3456574.0
2015-02-03,117.57,119.52,116.42,118.89,4444779.0,0.0,1.0,113.84817101483,115.73644126642,112.73457573826,115.12638472360001,4444779.0
2015-02-04,118.7,119.0,117.45,117.79,3175594.0,0.0,1.0,114.94239941703,115.23290253266,113.73196976858,114.06120663296001,3175594.0
2015-02-09,118.94,119.935,118.91,119.32,2546056.0,0.0,1.0,115.17480190953998,116.1383039097,115.14575159796999,115.54277252267,2546056.0
2015-02-10,119.9,120.22,118.92299999999999,119.4,2556448.0,0.0,1.0,116.10441187955,116.41428186955,115.15834006632,115.62024002017,2556448.0
2015-02-11,118.675,119.06,117.97,118.69,2702073.0,0.64,1.0,115.53785248155,115.91267509125,114.85148900147,115.55245595985001,2702073.0
2015-02-12,119.21,119.96,118.82,119.59,2873502.0,0.0,1.0,116.05870987424,116.78888378923,115.67901943845,116.42866465783999,2873502.0
2015-02-13,119.39,121.38,119.34,121.25,3761001.0,0.0,1.0,116.23395161383999,118.17134640161001,116.18527335283999,118.04478292301,3761001.0
2015-02-17,121.13,121.9,120.57,121.32,3236990.0,0.0,1.0,117.92795509661,118.67760031600001,117.38275857341999,118.11293248841001,3236990.0
2015-02-18,121.31,122.66,121.01,121.99,3456162.0,0.0,1.0,118.10319683621,119.41750988318998,117.81112727022,118.7652211858,3456162.0
2015-02-19,122.12,123.0,121.58,122.91,3388273.0,0.0,1.0,118.8917846644,119.74852205798,118.36605944561,119.66090118818,3388273.0
2015-02-20,123.1,124.45,122.0,124.11,4029780.0,0.0,1.0,119.84587857998001,121.16019162696001,118.774956838,120.82917945216002,4029780.0
2015-02-23,123.72,124.16,123.07,123.72,2726307.0,0.0,1.0,120.44948901637,120.87785771316003,119.81667162338002,120.44948901637,2726307.0
2015-02-24,123.42,124.1399,122.99,123.79,2447306.0,0.0,1.0,120.15741945038,120.85828905224,119.73878640578,120.51763858177,2447306.0
2015-02-25,123.85,124.33,122.95,123.37,2858092.0,0.0,1.0,120.57605249497,121.04336380056002,119.69984379698,120.10874118938,2858092.0
2015-02-26,123.32,123.55,122.15,122.67,2498163.0,0.0,1.0,120.06006292838,120.28398292896999,118.920991621,119.42724553539,2498163.0
2015-02-27,122.55,122.85,121.79,121.91,3085248.0,0.0,1.0,119.31041770898999,119.60248727498998,118.5705081418,118.6873359682,3085248.0
2015-03-02,121.83,123.5,121.55,123.19,2300914.0,0.0,1.0,118.60945075059999,120.23530466796998,118.33685248901001,119.93349944978,2300914.0
2015-03-03,121.98,122.89,121.11,121.7,3187392.0,0.0,1.0,118.75548553360001,119.64142988378,117.90848379221,118.48288727200001,3187392.0
2015-03-04,121.25,121.385,120.52,121.04,2123219.0,0.0,1.0,118.04478292301,118.17621422771002,117.33408031241999,117.84033422681001,2123219.0
2015-03-05,121.29,121.49,120.345,120.79,1928310.0,0.0,1.0,118.08372553181002,118.27843857581001,117.16370639893,117.59694292181999,1928310.0
2015-03-06,119.4,120.36,118.88,119.43,3663073.0,0.0,1.0,116.24368726603998,117.17830987722999,115.73743335165001,116.27289422264,3663073.0
2015-03-09,119.29,122.19,119.29,121.75,4127954.0,0.0,1.0,116.13659509183998,118.9599342298,116.13659509183998,118.53156553299999,4127954.0
2015-03-10,120.55,120.98,117.34,117.4,5583789.0,0.0,1.0,117.36328726902,117.78192031361999,114.23814291288001,114.29655682607,5583789.0
2015-03-11,117.78,118.91,117.37,118.34,3739380.0,0.0,1.0,114.66651160967,115.76664030825,114.26734986946998,115.21170813286001,3739380.0
2015-03-12,120.35,121.47,120.28,121.24,4897331.0,0.0,1.0,117.16857422503,118.25896727141,117.10042465963001,118.03504727081001,4897331.0
2015-03-13,120.76,121.6,117.7,118.74,7347531.0,0.0,1.0,117.56773596522,118.38553075001002,114.58862639206998,115.60113422084999,7347531.0
2015-03-16,119.25,120.16,119.03,120.07,4591208.0,0.0,1.0,116.09765248304,116.98359683323,115.88346813465,116.89597596343,4591208.0
2015-03-17,119.52,120.13,118.75,119.86,3822486.0,0.0,1.0,116.36051509244,116.95438987663,115.61086987305,116.69152726723,3822486.0
2015-03-18,119.28,120.6,117.25,120.31,5270072.0,0.0,1.0,116.12685943963999,117.41196553001998,114.15052204308,117.12963161623001,5270072.0
2015-03-19,120.04,120.31,119.04,119.38,2855040.0,0.0,1.0,116.86676900683001,117.12963161623001,115.89320378685,116.22421596164,2855040.0
2015-03-20,119.81,120.4,119.46,119.46,7668797.0,0.0,1.0,116.64284900623001,117.21725248603,116.30210117924,116.30210117924,7668797.0
2015-03-23,119.46,119.69,118.19,118.68,4482119.0,0.0,1.0,116.30210117924,116.52602117983999,115.06567334986,115.54272030765,4482119.0
