Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-02,47.01,47.23,46.91,46.96,11382534.0,0.0,1.0,47.01,47.23,46.91,46.96,11382534.0
2015-01-05,47.0,47.16,46.56,46.57,18923140.0,0.0,1.0,47.0,47.16,46.56,46.57,18923140.0
2015-01-06,46.76,47.38,46.465,47.04,22796898.0,0.0,1.0,46.76,47.38,46.465,47.04,22796898.0
2015-01-08,46.42,47.24,46.13,47.18,17551476.0,0.0,1.0,46.42,47.24,46.13,47.18,17551476.0
2015-01-12,47.0,47.265,46.67,47.08,12676259.0,0.0,1.0,47.0,47.265,46.67,47.08,12676259.0
2015-01-13,47.5,47.8,46.93,47.18,13031848.0,0.0,1.0,47.5,47.8,46.93,47.18,13031848.0
2015-01-14,46.88,47.34,46.57,46.97,14669010.0,0.0,1.0,46.88,47.34,46.57,46.97,14669010.0
2015-01-15,47.22,47.54,46.8,47.1,12411590.0,0.0,1.0,47.22,47.54,46.8,47.1,12411590.0
2015-01-20,48.13,48.245,47.71,48.18,16373696.0,0.0,1.0,48.13,48.245,47.71,48.18,16373696.0
2015-01-21,47.89,48.4,47.61,48.25,24865805.0,0.0,1.0,47.89,48.4,47.61,48.25,24865805.0
2015-01-22,48.12,48.48,46.91,47.8,38425240.0,0.0,1.0,48.12,48.48,46.91,47.8,38425240.0
2015-01-23,47.85,47.93,46.98,47.15,24304500.0,0.0,1.0,47.85,47.93,46.98,47.15,24304500.0
2015-01-26,46.98,47.1,46.49,46.96,15063470.0,0.0,1.0,46.98,47.1,46.49,46.96,15063470.0
2015-01-28,46.86,47.03,46.025,46.05,19518404.0,0.0,1.0,46.86,47.03,46.025,46.05,19518404.0
2015-01-29,45.97,46.28,45.37,46.11,19098608.0,0.0,1.0,45.97,46.28,45.37,46.11,19098608.0
2015-01-30,45.83,46.51,45.56,45.71,22714063.0,0.0,1.0,45.83,46.51,45.56,45.71,22714063.0
2015-02-02,46.2,47.15,45.76,46.98,23040960.0,0.0,1.0,46.2,47.15,45.76,46.98,23040960.0
2015-02-03,47.29,47.97,47.21,47.83,21443792.0,0.0,1.0,47.29,47.97,47.21,47.83,21443792.0
2015-02-04,47.67,48.31,47.66,47.8,19820016.0,0.0,1.0,47.67,48.31,47.66,47.8,19820016.0
2015-02-09,49.06,49.47,48.98,49.09,20996542.0,0.0,1.0,49.06,49.47,48.98,49.09,20996542.0
2015-02-10,49.31,49.56,49.01,49.51,15031974.0,0.0,1.0,49.31,49.56,49.01,49.51,15031974.0
2015-02-11,49.39,49.88,49.16,49.81,19294384.0,0.0,1.0,49.39,49.88,49.16,49.81,19294384.0
2015-02-12,49.89,49.99,49.25,49.52,20404937.0,0.0,1.0,49.89,49.99,49.25,49.52,20404937.0
2015-02-13,49.41,49.6,49.03,49.31,14573547.0,0.0,1.0,49.41,49.6,49.03,49.31,14573547.0
2015-02-17,49.04,49.32,48.89,49.18,15263386.0,0.0,1.0,49.04,49.32,48.89,49.18,15263386.0
2015-02-18,49.2,49.31,48.68,48.94,13467215.0,0.0,1.0,49.2,49.31,48.68,48.94,13467215.0
2015-02-19,48.79,49.14,48.74,48.91,11574188.0,0.0,1.0,48.79,49.14,48.74,48.91,11574188.0
2015-02-20,48.77,48.98,48.415,48.97,13444433.0,0.0,1.0,48.77,48.98,48.415,48.97,13444433.0
2015-02-23,48.94,49.0,48.54,48.77,12238338.0,0.0,1.0,48.94,49.0,48.54,48.77,12238338.0
2015-02-24,48.67,49.41,48.31,49.22,16306010.0,0.0,1.0,48.67,49.41,48.31,49.22,16306010.0
2015-02-25,49.32,49.4,49.03,49.2,11373290.0,0.0,1.0,49.32,49.4,49.03,49.2,11373290.0
2015-02-26,49.06,49.46,48.92,49.37,13581410.0,0.0,1.0,49.06,49.46,48.92,49.37,13581410.0
2015-02-27,49.22,49.66,49.05,49.45,17509380.0,0.0,1.0,49.22,49.66,49.05,49.45,17509380.0
2015-03-02,49.12,49.51,49.02,49.47,10914430.0,0.0,1.0,49.12,49.51,49.02,49.47,10914430.0
2015-03-03,49.49,49.68899999999999,49.28,49.55,11348200.0,0.0,1.0,49.49,49.68899999999999,49.28,49.55,11348200.0
2015-03-04,49.56,49.56,48.92,49.07,13820160.0,0.0,1.0,49.56,49.56,48.92,49.07,13820160.0
2015-03-05,49.18,49.22,48.81,48.92,9653450.0,0.0,1.0,49.18,49.22,48.81,48.92,9653450.0
